,level_0,omoid,omonumber,bbl_x,buildingid,boro id,housenumber_x,streetname_x,boro_x,apartment,lifecycle,worktypegeneral,omostatusreason,omoawardamount,omocreatedate,netchangeorders,omoawarddate,isaep,iscommercialdemolition,servicechargeflag,femaeventid,femaevent,omodescription,nta,full_address,Unnamed: 0,bbl_y,bldg#,m,direction,housenumber_y,streetname_y,street_type,zip,index,development,transfer_date,boro_y,units,old_merge,_merge
10,11380,5420954,EO24850,3035090059,383517,3,2058,UNION STREET,BROOKLYN,3B,Standing Building,GC,No Access,50,3/5/24,0,5/9/24,,,TRUE,,,"at apt #3b as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. at apt #3b as",Brownsville,2058 UNION STREET,1161,3035090059,3,M,,2058,UNION,STREET,11212,1199,SUTTER AVENUE-UNION STREET,11/28/23,BROOKLYN,100,both,both
11,11745,5352275,EO02649,3043770001,809554,3,726,STANLEY AVENUE,BROOKLYN,,Standing Building,GC,No Access,850,7/29/23,0,8/14/23,,,TRUE,,,"nyc hpd emergency operations division   essential service work  at building fire door 1st from east and 2nd fire door from east at south,publi",East New York-New Lots,726 STANLEY AVENUE,263,3043770001,13,,,726,STANLEY,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
12,12433,5061671,EL12777,2029440001,806411,2,601,CROTONA PARK NORTH,BRONX,14A,Standing Building,DELEAD,OMO Completed,12.5,1/15/21,0,1/15/21,,,FALSE,,,perform total lead analysis of 02 dust wipe sample(s) via environmental protection agency (epa) sw8453050-7000b method utilizing flame atomic absorpti,East Tremont,601 CROTONA PARK NORTH,953,2029440001,2,,,601,CROTONA PARK,NORTH,10457,989,MURPHY,12/27/18,BRONX,281,both,both
13,12577,5113589,EL20795,3018040010,325059,3,360,LEXINGTON AVENUE,BROOKLYN,1D,Standing Building,GC,Tenant Refused Access,"1,680",4/15/21,0,4/22/21,,,TRUE,,,"at 360 lexington ave at apt#1d at kitchen trace and repair leaks from above,ensure no leak return. demolish and repair damaged surface(ceiling",Bedford,360 LEXINGTON AVENUE,80,3018040010,2,M,,360,LEXINGTON,AVENUE,11216,84,ARMSTRONG II,2/12/20,BROOKLYN,248,both,both
14,13164,5301230,EN13086,3043770001,809353,3,845,SCHENCK AVENUE,BROOKLYN,6F,Standing Building,EXTERM,OMO Completed,450,12/3/22,0,12/5/22,,,FALSE,,,"** doh ll 55 pest referral ** at entire apartment : 6f exterminate entire apartment, as to abate a vermin and pests infestation. treat as appro",East New York-New Lots,845 SCHENCK AVENUE,258,3043770001,11,M,,845,SCHENCK,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
15,13731,5434909,EO29040,2049050001,806645,2,1165,EAST 229 STREET,BRONX,7C,Standing Building,DELEAD,No Access,"4,110",4/17/24,0,5/7/24,,,TRUE,,,as per hpds lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative,Eastchester-Edenwald-Baychester,1165 EAST 229 STREET,424,2049050001,17,M,EAST,1165,229,STREET,10466,446,EDENWALD,6/27/23,BRONX,2039,both,both
16,13774,5303615,EN13852,3043930001,808025,3,245,COZINE AVENUE,BROOKLYN,3D,Standing Building,GC,Duplicate OMO,250.25,12/13/22,0,12/14/22,,,FALSE,,,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 3d, 3rd story, 2n",East New York,245 COZINE AVENUE,882,3043930001,13,M,,245,COZINE,AVENUE,11207,918,LINDEN,12/28/21,BROOKLYN,1586,both,both
17,13799,5442834,EO31760,2049050001,806645,2,1165,EAST 229 STREET,BRONX,,Standing Building,GC,OMO Completed,"2,340",5/10/24,0,5/17/24,,,FALSE,,,at public parts building entrance door and staircase doors to comply with nyc self closing code nyc hpd emerency operations division at pu,Eastchester-Edenwald-Baychester,1165 EAST 229 STREET,424,2049050001,17,M,EAST,1165,229,STREET,10466,446,EDENWALD,6/27/23,BRONX,2039,both,both
18,14394,5331751,EN24923,3043710001,809926,3,245,WORTMAN AVENUE,BROOKLYN,,Standing Building,ELEV,,0,4/17/23,0,,,,FALSE,,,"pursuant to a department of buildings reoccurring immediately hazardous elevator violation, the elevator at this location remains out of service. per",East New York,245 WORTMAN AVENUE,897,3043710001,5,M,,245,WORTMAN,AVENUE,11207,917,LINDEN,12/28/21,BROOKLYN,1586,both,both
19,14912,5409831,EO21463,2049050001,807146,2,1173,229 DRIVE NORTH,BRONX,13E,Standing Building,PLUMB,landlord Restored Service,0,1/31/24,0,,,,FALSE,,,at boiler room make all necessary repairs/changes to boiler to ensure adequate hot water is present at all water fixtures to entire apartment.. c,Eastchester-Edenwald-Baychester,1173 229 DRIVE NORTH,481,2049050001,7,M,,1173,229 DRIVE,NORTH,10466,446,EDENWALD,6/27/23,BRONX,2039,both,both
20,15350,5301671,EN13168,3043710001,809922,3,185,WORTMAN AVENUE,BROOKLYN,,Standing Building,GC,No Access,250.25,12/5/22,0,12/6/22,,,TRUE,,,nyc hpd emergency operations division - ''essential service work '' install hinges to make door self-closing that is missing or defective at en,East New York,185 WORTMAN AVENUE,903,3043710001,8,M,,185,WORTMAN,AVENUE,11207,917,LINDEN,12/28/21,BROOKLYN,1586,both,both
21,15397,5355930,EO03642,1021150060,42723,1,545,WEST 156 STREET,MANHATTAN,,Standing Building,GC,Work Partially Completed,980,8/10/23,0,8/18/23,,,FALSE,,,nyc hpd emergency operations division   essential service work  at 1st story at building entrance door make all necessary adjustment/tensioni,Washington Heights (South),545 WEST 156 STREET,1237,1021150060,1,M,WEST,545,156,STREET,10032,1282,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),11/30/20,MANHATTAN,14,both,both
22,15855,5359144,EO04824,3043550001,809351,3,807,SCHENCK AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,250.25,8/21/23,0,8/22/23,,,FALSE,,,"nyc hpd emergency operations division  essential service work at fire door leading to stairs at south at public hall, 1st story: install new",East New York-New Lots,807 SCHENCK AVENUE,279,3043550001,4,M,,807,SCHENCK,AVENUE,11207,260,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
23,18171,5410478,EO21819,3014390001,314099,3,2065,DEAN STREET,BROOKLYN,,Standing Building,GC,OMO Completed,825,1/31/24,0,2/9/24,,,FALSE,,,nyc hpd emergency operations division   essential service work  at vestibule entrance door at 1st story public hall install (1) new h,Ocean Hill,2065 DEAN STREET,993,3014390001,5,M,,2065,DEAN,STREET,11233,1032,OCEAN HILL-BROWNSVILLE,11/28/23,BROOKLYN,125,both,both
24,20217,5356224,EO03759,3043930001,808022,3,195,COZINE AVENUE,BROOKLYN,,Standing Building,GC,No Access,628,8/10/23,0,8/22/23,,,TRUE,,,make all necessary repairs to make door self closing and latch as per nycguidelines. also include hinges and passage lock. at (1st door from south at,East New York-New Lots,195 COZINE AVENUE,886,3043930001,15,M,,195,COZINE,AVENUE,11207,918,LINDEN,12/28/21,BROOKLYN,1586,both,both
25,20482,5358064,EO04449,2022690100,806340,2,400,BROOK AVENUE,BRONX,15H,Standing Building,GC,OMO Completed,295,8/17/23,0,8/22/23,,,FALSE,,,"install hinges to make door self-closing at apartment 15h entrance door, 15th story. total doors= (1) contractor must contact hpd @ 212 863-549",Mott Haven-Port Morris,400 BROOK AVENUE,155,2022690100,1,M,,400,BROOK,AVENUE,10454,163,BETANCES I,11/16/18,BRONX,309,both,both
26,21074,5299528,EN12596,1020370001,4186,1,2850,FREDERICK DOUGLASS BOULEVARD,MANHATTAN,11A,Standing Building,GC,Owner Refused Access,"2,180",11/28/22,0,12/1/22,,,TRUE,,,nyc - ''essential hpd emergency operations service work'' division make all necessary repairs to replace broken/defective door and jamb with new prop,Central Harlem North-Polo Grounds,2850 FREDERICK DOUGLASS BOULEVARD,601,1020370001,8,M,,2850,FREDERICK DOUGLASS,BOULEVARD,10039,640,HARLEM RIVER II ,2/17/22,MANHATTAN,116,both,both
27,22258,4924148,EK19977,4160020001,811218,4,54-22,BEACH CHANNEL DRIVE,QUEENS,5H,Standing Building,DELEAD,Condition Different than Stated,0,2/10/20,0,,,,FALSE,,,erp doh lead abatement violation: as per rc # and attached scope of work thoroughly remove all lead violations as per new york city health order to ab,Hammels-Arverne-Edgemere,54-22 BEACH CHANNEL DRIVE,963,4160020001,16,M,,54-22,BEACH CHANNEL,DRIVE,11692,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,both
28,24643,5304210,EN14173,3043550001,809351,3,807,SCHENCK AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,670,12/15/22,0,12/19/22,,,FALSE,,,"nyc hpd emerency operations division  at public parts, bldg ent: at buildg entrance door replace broken/cracked glass pane at door an",East New York-New Lots,807 SCHENCK AVENUE,279,3043550001,4,M,,807,SCHENCK,AVENUE,11207,260,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
29,25112,5173849,EM02782,1021150060,42723,1,545,WEST 156 STREET,MANHATTAN,4A,Standing Building,GC,No Access,"1,962",8/6/21,0,8/24/21,,,TRUE,,,apt# 4a location: north(1) trace locate and repair the water leak from the above apartment replace the defective ceiling ( 82 sq ft) with similar,Washington Heights South,545 WEST 156 STREET,1237,1021150060,1,M,WEST,545,156,STREET,10032,1282,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),11/30/20,MANHATTAN,14,both,both
30,26610,5201917,EM06699,3021720001,809667,3,85,TAYLOR STREET,BROOKLYN,9A,Standing Building,GC,Tenant Refused Access,50,9/29/21,0,12/2/21,,,TRUE,,,"at apt #9a as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all wor",Williamsburg,85 TAYLOR STREET,858,3021720001,1,M,,85,TAYLOR,STREET,11249,897,INDEPENDENCE,2/12/20,BROOKLYN,744,both,both
31,28365,5412950,EO22458,2049050001,806640,2,1107,EAST 229 STREET,BRONX,1A,Standing Building,PLUMB,Owner Refused Access,"1,570",2/8/24,0,2/14/24,,,TRUE,,,"nyc hpd emergency operations division   essential service work  at apt 1a, 1st story, 1st apartment from east at south make all necessary to",Eastchester-Edenwald-Baychester,1107 EAST 229 STREET,416,2049050001,13,M,EAST,1107,229,STREET,10466,446,EDENWALD,6/27/23,BRONX,2039,both,both
32,28458,5413654,EO22650,3013790008,376440,3,1448,STERLING PLACE,BROOKLYN,2B,Standing Building,PLUMB,No Access,"3,800",2/9/24,0,2/23/24,,,TRUE,,,nyc hpd emergency operations division  essential service work ***urgent heat /,Crown Heights (North),1448 STERLING PLACE,1146,3013790008,1,M,,1448,STERLING,PLACE,11213,1185,STERLING PLACE REHABS (STERLING-BUFFALO),11/28/23,BROOKLYN,125,both,both
33,28587,5377488,EO10612,1020370001,4186,1,2850,FREDERICK DOUGLASS BOULEVARD,MANHATTAN,,Standing Building,GC,Owner Refused Access,880,10/17/23,0,11/22/23,,,TRUE,,,make all necessary changes to make door self-closing at building front entrance total doors= (1) contractor must contact hpd @ 212 863-5496; 5976;,Harlem (North),2850 FREDERICK DOUGLASS BOULEVARD,601,1020370001,8,M,,2850,FREDERICK DOUGLASS,BOULEVARD,10039,640,HARLEM RIVER II ,2/17/22,MANHATTAN,116,both,both
34,30849,5275152,EN03294,1021110041,43031,1,463,WEST 164 STREET,MANHATTAN,,Standing Building,GC,OMO Completed,784,8/4/22,0,8/6/22,,,FALSE,,,nyc hpd emergency operations division - ''essential work service'' at building entrance door. make all necessary repairs to the door's frame and,Washington Heights South,463 WEST 164 STREET,1232,1021110041,5,M,WEST,463,164,STREET,10032,1277,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),11/30/20,MANHATTAN,88,both,both
35,31132,5295471,EN11178,3043710001,809926,3,245,WORTMAN AVENUE,BROOKLYN,2D,Standing Building,DELEAD,OMO Completed,"1,125",11/9/22,0,12/19/22,,,FALSE,,,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative,East New York,245 WORTMAN AVENUE,897,3043710001,5,M,,245,WORTMAN,AVENUE,11207,917,LINDEN,12/28/21,BROOKLYN,1586,both,both
36,31556,5413741,EO22692,3013730043,362393,3,208,ROCHESTER AVENUE,BROOKLYN,3D,Standing Building,GC,Landlord Complied,"2,000",2/10/24,0,2/21/24,,,TRUE,,,all mold remediation work to be done following safe work practice per new york state department of labor law article 32 & nyc-dep local law 61 of 2,Crown Heights (North),208 ROCHESTER AVENUE,1003,3013730043,4,M,,208,ROCHESTER,AVENUE,11213,1042,PARK ROCK REHAB,11/28/23,BROOKLYN,134,both,both
37,31811,5526002,EP26018,1020120058,41790,1,162,WEST 144 STREET,MANHATTAN,2B,Standing Building,GC,No Access,50,5/1/25,0,6/27/25,,,TRUE,,,"apt #2b as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment apt #2b as per re",Harlem (North),162 WEST 144 STREET,1097,1020120058,9,M,WEST,162,144,STREET,10030,1136,SAMUEL (CITY),9/26/24,MANHATTAN,664,both,both
