,development_name,boro,total_units,transferred_date,full_address,omoid,omonumber,buildingid,boro id,apartment,lifecycle,worktypegeneral,omostatusreason,omoawardamount,omocreatedate,netchangeorders,omoawarddate,isaep,iscommercialdemolition,servicechargeflag,femaeventid,femaevent,omodescription,nta
284,SUTTER AVENUE-UNION STREET,BROOKLYN,100,11/28/23,2058 UNION STREET,5420954,EO24850,383517,3,3B,Standing Building,GC,No Access,50,3/5/24,0,5/9/24,,,TRUE,,,"at apt #3b as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. at apt #3b as",Brownsville
285,SUTTER AVENUE-UNION STREET,BROOKLYN,100,11/28/23,2058 UNION STREET,3981388,EG11152,383517,3,5G,Standing Building,GC,No Access,262,1/21/16,0,1/25/16,,,TRUE,,,replace with new broken window glass in upper sash in bedroom (n5) in apt.5g. tenant's phone (347)892-6436. remove all work related debris.,Brownsville
286,SUTTER AVENUE-UNION STREET,BROOKLYN,100,11/28/23,2058 UNION STREET,5430011,EO27492,383517,3,,Standing Building,GC,OMO Completed,800,4/3/24,0,4/8/24,,,FALSE,,,door closer at vestibule door. make all necessary repairs to make door self closing . also install door closer . return to proper working order,Brownsville
287,SUTTER AVENUE-UNION STREET,BROOKLYN,100,11/28/23,2058 UNION STREET,5479580,EP07041,383517,3,3B,Standing Building,GC,Tenant Refused Access,50,9/18/24,0,12/13/24,,,TRUE,,,"apt #3c as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. apt #3c as per",Brownsville
288,SUTTER AVENUE-UNION STREET,BROOKLYN,100,11/28/23,2058 UNION STREET,5496606,EP12714,383517,3,3F,Standing Building,GC,Tenant Refused Access,487,11/18/24,0,11/22/24,,,TRUE,,,apt 3f needs self closing hinges install self closing hinges to make door self-closing at (entrance to apt 3f). total doors= (1) all work must b,Brownsville
289,SUTTER AVENUE-UNION STREET,BROOKLYN,100,11/28/23,2058 UNION STREET,5496605,EP12713,383517,3,,Standing Building,GC,Condition Different than Stated,1475,11/18/24,0,12/13/24,,,TRUE,,,new hopper door at 6th story make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb similar,Brownsville
290,SUTTER AVENUE-UNION STREET,BROOKLYN,100,11/28/23,2058 UNION STREET,5521945,EP23532,383517,3,,Standing Building,GC,No Access,630,4/9/25,0,4/10/25,,,TRUE,,,at building entrance at building entrance door make all necessary repairs to make door self closing and latching also install new door closer tota,Brownsville
291,TAPSCOTT STREET REHAB,BROOKLYN,155,11/28/23,725 HOWARD AVENUE,5533205,EP29818,314228,3,,Standing Building,GC,,1490,6/20/25,0,6/25/25,,,FALSE,,,fire escape repair at 2nd story fire escape balcony: building front nyc hpd emergency operations division  essential service work  make all,Brownsville
292,TAPSCOTT STREET REHAB,BROOKLYN,155,11/28/23,175 TAPSCOTT STREET,5528258,EP27233,380704,3,,Standing Building,GC,Owner Refused Access,2000,5/15/25,0,5/21/25,,,TRUE,,,"at public hallway 2nd & 4th story .. restore broken plaster. repair defective, missing / broken plaster at east wall at public hallway 2nd & 4t",East Flatbush-Remsen Village
293,TAPSCOTT STREET REHAB,BROOKLYN,155,11/28/23,187 TAPSCOTT STREET,5426468,EO26510,380707,3,,Standing Building,GC,OMO Completed,640,3/21/24,0,3/25/24,,,FALSE,,,"nyc hpd emergency operations division   essential service work  at building entrance, 1st story install heave duty door closer, make all nec",East Flatbush-Remsen Village
294,TAPSCOTT STREET REHAB,BROOKLYN,155,11/28/23,199 TAPSCOTT STREET,5535839,EQ00787,234846,3,,Standing Building,GC,,647,7/8/25,0,7/15/25,,,FALSE,,,public door bulkhead **nyc hpd emergency operations division  essential service work  **at bulkhead door: apt bulkhead door: mak,East Flatbush-Remsen Village
295,TAPSCOTT STREET REHAB,BROOKLYN,155,11/28/23,199 TAPSCOTT STREET,5514925,EP19659,234846,3,4D,Standing Building,PLUMB,Condition Different than Stated,0,2/20/25,0,,,,FALSE,,,at apt#4d 4th story at basement nyc hpd emergency operations division-essential service work.,East Flatbush-Remsen Village
296,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,216,11/30/20,2340 AMSTERDAM AVENUE,5316830,EN18857,5840,1,,Standing Building,GC,OMO Completed,503.66,2/3/23,0,2/10/23,,,FALSE,,,"at public parts : install hinges to make door self-closing at east section fire doors, at public hall 4th, story. total doors = 2 { door (n1) and d",Washington Heights (South)
297,WEST BRIGHTON I,STATEN,490,6/26/24,778 HENDERSON AVENUE,5528659,EP27437,812470,5,,Standing Building,GC,OMO Completed,864,5/19/25,0,5/22/25,,,FALSE,,,"nyc hpd emergency operations division   essential service work  at building entrance door, 1st story repairs to make door self close and lat",West New Brighton-Silver Lake-Grymes Hill
298,WEST BRIGHTON I,STATEN,490,6/26/24,1075 CASTLETON AVENUE,5539867,EQ02961,812405,5,,Standing Building,GC,No Access,730,8/2/25,0,8/6/25,,,TRUE,,,door repair make all necessary repairs to make door self closing and latching. intall a new push bar and realign door to ensure door self closes an,West New Brighton-Silver Lake-Grymes Hill
299,WILLIAMS PLAZA,BROOKLYN,577,2/12/20,325 ROEBLING STREET,5179863,EM03585,809307,3,,Standing Building,GC,Condition Different than Stated,250.25,8/18/21,0,8/18/21,,,TRUE,,,"scope of work: - install new door check and adjust door to make door self -closing located at buliding entrance door , public-hall at 1st story *do",North Side-South Side
300,WILLIAMS PLAZA,BROOKLYN,577,2/12/20,325 ROEBLING STREET,5237428,EM18277,809307,3,,Standing Building,GC,Landlord Complied,250.25,2/24/22,0,4/8/22,,,TRUE,,,nyc hpd emergency operation division essential service work at building entrance door ( 1 ) per rc guidelines installation of self-clo,North Side-South Side
301,WILLIAMS PLAZA,BROOKLYN,577,2/12/20,225 DIVISION AVENUE,5205731,EM07224,808092,3,2C,Standing Building,GC,No Access,250.25,10/6/21,0,10/18/21,,,TRUE,,,division nyc - ''essential hpd emergency operations service work'' install hinges to make door self-closing arrange and make self-closing the do,North Side-South Side
302,WILLIAMSBURG,BROOKLYN,1621,12/28/21,90 TEN EYCK WALK,5347762,EO01098,809675,3,2D,Standing Building,GC,Owner Refused Access,700,7/13/23,0,7/17/23,,,TRUE,,,"nyc hpd emergency operations division  essential service work  at apt 2d properly install hinges, make all necessary adjustment/tensioning to s",East Williamsburg
303,WISE TOWERS,MANHATTAN,399,11/30/20,133 WEST 90 STREET,5327416,EN23026,805761,1,14A,Standing Building,GC,OMO Completed,2000,3/23/23,0,5/9/23,,,FALSE,,,"location : bathroom trace, locate and properly repair the sources of the leaks causing damage to ceiling and walls. probable source of water leak",Upper West Side (Central)
304,WISE TOWERS,MANHATTAN,399,11/30/20,133 WEST 90 STREET,5375732,EO10119,805761,1,1A,Standing Building,GC,OMO Completed,333.87,10/12/23,0,10/19/23,,,FALSE,,,"at entrance door at apt 1a, 2nd story, 1st apartment from east at south remove two defective door hinges and install two new hinges to make door se",Upper West Side (Central)
305,WISE TOWERS,MANHATTAN,399,11/30/20,133 WEST 90 STREET,5328009,EN23235,805761,1,6A,Standing Building,GC,No Access,333.87,3/28/23,0,4/17/23,,,TRUE,,,nyc hpd emergency operations division   essential service work  install hinges to make door self-closing at (apartment entrance 6a). total door,Upper West Side (Central)
306,WISE TOWERS,MANHATTAN,399,11/30/20,133 WEST 90 STREET,5481800,EP07711,805761,1,,Standing Building,GC,OMO Completed,1589,9/25/24,0,9/27/24,,,FALSE,,,"defective hopper door at 1st sty at hopper door located at :public hall, (1st sty) demo and completely remove the defective existing hopper door",Upper West Side (Central)
